,EE Provider ID,EE UID,Client Unique ID,Client ID,Client Age at Entry,Client Age at Exit,Client Gender,Client Primary Race,Client Ethnicity,Client Veteran Status
11,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),687951,kmlm12231983k150m420,403745,31.0,31.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
12,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),687967,vgef12111970v452g450,404039,44.0,44.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
13,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),687968,jhif12071939j500h520,381869,75.0,75.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
14,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),687969,kjnf01191975k516j520,397313,40.0,40.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
15,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),687970,amdf07161973a420m235,185069,42.0,42.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
16,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),687973,pswf10261963p362s620,399028,51.0,52.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
17,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),687974,ssef07191965s410s315,361024,50.0,50.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
18,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),687975,aslm02221970a415s462,324453,45.0,45.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
19,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),687982,cohf02011960c530o355,395548,55.0,55.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
20,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688348,wbam07171966w450b650,393111,49.0,49.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
21,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688349,wdvm11221964w400d120,379956,50.0,50.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
22,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688350,kfom03291989k150f462,397202,26.0,26.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
23,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688352,rfrm06071966r240f630,251488,49.0,49.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
24,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688353,rhym06251954r150h200,395541,61.0,61.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
25,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688357,jhim10091961j160h520,381870,53.0,53.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
26,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688359,ahdm01191962a415h320,392383,53.0,53.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
27,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688361,jjcm07251979j150j250,318262,36.0,36.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
28,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688362,tmtm07191957t520m320,381470,58.0,58.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
29,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688363,csnm11301988c623s524,309651,26.0,26.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
30,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688365,dwom08041978d640w320,333120,37.0,37.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
31,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688366,wbsf12081963w530b200,373187,51.0,52.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
32,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688367,ybuf11221969y453b326,362567,45.0,45.0,Female,White (HUD),Hispanic/Latino (HUD),No (HUD)
33,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688368,cbwf05101957c645b420,158414,58.0,58.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
34,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688369,tclf10151991t200c400,401630,23.0,23.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
35,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688370,ekaf09131961e450k516,401763,53.0,53.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
36,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688371,tkuf12011960t620k451,314853,54.0,54.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
37,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688372,clnf07121973c623l520,400077,42.0,42.0,Female,White (HUD),Data not collected (HUD),No (HUD)
38,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688378,mtof06051963m520t520,386115,52.0,52.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
39,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688395,kbtm07131957k640b352,399904,58.0,58.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
40,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688396,abam05181974a412b653,394031,41.0,41.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
41,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688397,bcmm11301974b400c565,402258,40.0,40.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
42,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688398,ddam04221992d130d616,403050,23.0,23.0,Male,American Indian or Alaska Native (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
43,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688403,ddkm12061967d150d220,383149,47.0,47.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
44,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688405,ghrm10261976g620h635,387590,38.0,38.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
45,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688406,jlem07261968j160l000,403483,47.0,47.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
46,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688408,rlom05011950r543l300,224787,65.0,65.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
47,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688410,rlom01081964r543l300,225552,51.0,51.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
48,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688413,gmrm08241953g600m650,392386,61.0,62.0,Male,American Indian or Alaska Native (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
49,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688414,smom09231995s500m600,262238,19.0,19.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
50,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688415,rmrm06041956r263m620,384147,59.0,59.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
51,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688416,lpim11051951l530p412,403049,63.0,63.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
52,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688417,rqim01121968r263q620,361597,47.0,48.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
53,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688418,crnm07221992c642r500,365130,23.0,23.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
54,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688419,hrym10231959h600r236,382672,55.0,56.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
55,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688420,hsom12061972h643s252,397312,42.0,42.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
56,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688427,vwlm03311981v524w452,156978,34.0,34.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
57,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688496,hgrf06161964h450g625,398931,51.0,51.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
58,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688497,krcf06291962k300r263,399459,53.0,53.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
59,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688498,cbom04071962c465b650,384776,53.0,53.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
60,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688502,cclm10171961c623c434,333631,53.0,53.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
61,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688503,gcom05261963g635c160,166457,52.0,52.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
62,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688505,mdum02261986m240d320,219392,29.0,29.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
63,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688506,kdrm12171954k300d655,397427,60.0,60.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
64,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688532,pedm09021963p400e436,187276,51.0,51.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
65,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688561,rhlm01241960r410h400,217836,55.0,55.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
66,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688562,bhrm01101968b350h632,190759,47.0,47.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
67,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688564,djhm10151956d242j525,397646,58.0,58.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
68,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688566,klmm02161978k623l550,402256,37.0,37.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
69,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688569,smlm03301954s540m415,296887,61.0,61.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
70,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688570,msam12051979m300s160,381763,35.0,35.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
71,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688571,dtom12301973d500t512,195489,41.0,41.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
72,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688572,jwlm02141955j520w452,143061,60.0,60.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
73,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688721,kcnm07201985k400c530,399250,30.0,30.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
74,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688722,clem02131977c465l000,406857,38.0,38.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
75,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688723,rgrm08211962r550g620,181734,52.0,53.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
76,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688724,blem11211971b630l000,162076,43.0,43.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
77,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688726,eklm08011990e640k400,208663,25.0,25.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
78,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688727,jltm10031997j650l340,402257,22.0,22.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
79,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688728,thrm10171984t652h620,407754,30.0,30.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
80,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688729,bcnm04251957b620c552,407001,58.0,58.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
81,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688731,dcum03161963d650c140,405094,52.0,52.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
82,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688733,mmtm07161964m650m324,319129,51.0,51.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
83,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688734,rslm01211971r400s426,406576,44.0,44.0,Male,White (HUD),Hispanic/Latino (HUD),No (HUD)
84,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688735,rcrm05281947r263c600,330427,68.0,68.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
85,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688737,ambm09111955a535m150,10107,59.0,59.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
86,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688740,blnm02271951b400l500,167439,64.0,64.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
87,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688750,rhnm04081961r163h536,203783,54.0,54.0,Male,Black or African American (HUD),Hispanic/Latino (HUD),No (HUD)
88,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688751,llem01061957l600l000,351504,58.0,58.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
89,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688752,jlnm03211951j520l500,167911,64.0,64.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
90,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688753,flem04051964f430l000,316159,51.0,51.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
91,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688754,rwlm03181964r254w452,402130,51.0,51.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
92,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688755,lprm02161976l652p636,387703,39.0,39.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
93,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688756,hrwm05121962h560r500,370346,53.0,53.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
94,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688757,apum12021961a160p520,280121,53.0,53.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
95,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688767,sadm04041963s310a536,403361,52.0,52.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
96,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688768,kfam06191978k150f626,403936,37.0,37.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
97,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688770,gbom05241965g626b650,373323,50.0,50.0,Male,American Indian or Alaska Native (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
98,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688777,fhwm04241971f636h400,404041,44.0,44.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
99,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688780,pimm10111970p400i550,281794,44.0,44.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
100,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688782,asom03261979a650s300,288078,36.0,36.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
101,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688784,vptm05261962v525p355,253473,53.0,53.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
102,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688785,esom09221958e430s324,128049,56.0,56.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
104,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688796,mbrm01261965m240b652,399024,50.0,50.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
105,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688797,dbrm11191967d130b653,294505,47.0,47.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
106,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688800,tpam03121976t500p625,408793,39.0,39.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
107,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688803,tlnm11091974t650l536,169662,40.0,40.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
108,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688804,cjnm05161982c642j525,368692,33.0,33.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
109,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688805,jhrm11251957j520h622,395939,57.0,58.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
112,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688813,trbf10271990t500r152,172864,24.0,25.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
113,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688821,evlf02121969e421v450,404523,46.0,46.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
114,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688825,cdlf06121971c530d423,408496,44.0,44.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
115,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688827,aprf10051971a535p600,278004,43.0,43.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
116,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688829,acuf12011983a425c340,408494,31.0,31.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
117,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688830,ktrf02031971k516t620,375893,44.0,44.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
118,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688831,rjhf04061995r240j525,399340,20.0,20.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
119,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688832,jwtf11171983j253w325,173737,31.0,32.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
120,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688833,lrsf12151958l150r200,106155,56.0,56.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
121,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688834,lmtf12171965l530m324,275835,49.0,50.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
122,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688835,jlnf11081966j330l536,313400,48.0,48.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
123,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),688836,afaf08241984a240f652,260878,30.0,31.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
124,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),689310,ddvf09031961d435d150,409235,53.0,53.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
125,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),689313,rewm10271953r500e363,407019,61.0,61.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD)
126,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),689314,dmcm05051983d540m260,169422,32.0,32.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
127,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),689315,asim04241973a350s560,409236,42.0,42.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
128,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),689316,wtrm11011964w436t600,65851,50.0,50.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
129,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),689317,gcum09151960g626c625,409062,34.0,34.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
130,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),689728,kwif10091964k623w200,167279,50.0,50.0,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
131,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),689730,jhlf07261988j245h400,373731,27.0,27.0,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
135,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),689735,mjnm11161965m623j520,378313,49.0,49.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
136,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),689736,tmkm12311958t650m200,103533,56.0,56.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
137,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),689741,lwlm10211974l600w452,231530,40.0,40.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
141,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),690108,ssim04121988s500s600,409450,27.0,27.0,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
142,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),690618,ieem02031993i200e163,403186,22.0,22.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
143,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),690620,rknm11131982r500k520,194903,32.0,32.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
144,Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838),690621,mwam03161988m240w160,157272,27.0,27.0,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD)
